Season,Avg_Attendance
1970,13132
1971,13305
1972,13872
1973,13068
1974,12463
1975,10908
1976,9635
1977,13861
1978,14691
1979,15104
1980,13325
1981,12496
1982,12994
1983,16727
1984,17409
1985,17028
1986,18755
1987,19637
1988,19703
1989,19531
1990,19664
1991,19723
1992,19707
1993,19625
1994,19779
1995,19923
1996,19978
1997,19983
1998,19983
1999,19983
2000,19995
2001,20058
2002,20058
2003,20066
2005,20064
2006,20066
2007,18870
2008,19865
2009,19546
2010,19680
2011,20066
2012,20066
2013,22150
2014,20027
2015,20027
2016,20027
2017,19515
2018,19121
2019,18717